Date;Value;Return;DividendYield;TotalReturn;ReturnRange
1970-01-01;90.31;-0.11460784313725492;0.0347;-0.07990784313725491;-15% to 0%
1971-01-01;93.49;0.035212047392315204;0.0349;0.0701120473923152;0% to 15%
1972-01-01;103.3;0.10493100866402827;0.031;0.13593100866402827;0% to 15%
1973-01-01;118.4;0.14617618586640857;0.0268;0.17297618586640856;15% to 30%
1974-01-01;96.11;-0.18826013513513518;0.035699999999999996;-0.15256013513513517;< -15%
1975-01-01;72.56;-0.24503173447091875;0.0537;-0.19133173447091875;< -15%
1976-01-01;96.86;0.33489525909592066;0.0415;0.37639525909592064;> 30%
1977-01-01;103.8;0.0716498038405946;0.0387;0.1103498038405946;0% to 15%
1978-01-01;90.25;-0.13053949903660889;0.049800000000000004;-0.08073949903660887;-15% to 0%
1979-01-01;99.71;0.10481994459833799;0.0528;0.157619944598338;15% to 30%
1980-01-01;110.9;0.11222545381606674;0.0524;0.16462545381606675;15% to 30%
1981-01-01;133.0;0.19927862939585195;0.0461;0.24537862939585195;15% to 30%
1982-01-01;117.3;-0.11804511278195495;0.0536;-0.06444511278195494;-15% to 0%
1983-01-01;144.3;0.2301790281329925;0.0493;0.2794790281329925;15% to 30%
1984-01-01;166.4;0.15315315315315314;0.0431;0.19625315315315314;15% to 30%
1985-01-01;171.6;0.03125;0.0458;0.07705000000000001;0% to 15%
1986-01-01;208.2;0.21328671328671334;0.0381;0.25138671328671336;15% to 30%
1987-01-01;264.5;0.2704130643611913;0.0333;0.3037130643611913;> 30%
1988-01-01;250.5;-0.052930056710775;0.0366;-0.016330056710774997;-15% to 0%
1989-01-01;285.4;0.13932135728542905;0.0353;0.17462135728542905;15% to 30%
1990-01-01;339.97;0.19120532585844452;0.0317;0.22290532585844453;15% to 30%
1991-01-01;325.49;-0.04259199341118336;0.0368;-0.00579199341118336;-15% to 0%
1992-01-01;416.08;0.27831884236074833;0.031400000000000004;0.3097188423607483;> 30%
1993-01-01;435.23;0.046024802922514985;0.028399999999999998;0.07442480292251498;0% to 15%
1994-01-01;472.99;0.08675872527169548;0.027000000000000003;0.11375872527169548;0% to 15%
1995-01-01;465.25;-0.01636398232520775;0.028900000000000002;0.012536017674792253;0% to 15%
1996-01-01;614.42;0.32062332079527134;0.022400000000000003;0.3430233207952713;> 30%
1997-01-01;766.22;0.2470622701083951;0.02;0.2670622701083951;15% to 30%
1998-01-01;963.36;0.25728902926052566;0.0161;0.27338902926052566;15% to 30%
1999-01-01;1248.77;0.296265155289819;0.013600000000000001;0.309865155289819;> 30%
2000-01-01;1425.59;0.1415953298045276;0.011699999999999999;0.1532953298045276;15% to 30%
2001-01-01;1335.63;-0.06310369741650812;0.012199999999999999;-0.05090369741650812;-15% to 0%
2002-01-01;1140.21;-0.14631297589901404;0.0137;-0.13261297589901405;-15% to 0%
2003-01-01;895.84;-0.21432016909165852;0.0179;-0.19642016909165852;< -15%
2004-01-01;1132.52;0.2641989641007323;0.0161;0.2802989641007323;15% to 30%
2005-01-01;1181.41;0.04316921555469233;0.016200000000000003;0.05936921555469234;0% to 15%
